budget,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,release_year,return,Action,Adventure,Animation,Aniplex,BROSTA TV,Carousel Productions,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,GoHands,History,Horror,Mardock Scramble Production Committee,Music,Mystery,Odyssey Media,Pulser Productions,Rogue State,Romance,Science Fiction,Sentai Filmworks,TV Movie,Telescene Film Group Productions,The Cartel,Thriller,Vision View Entertainment,War,Western,genres_1,cast_names,directing_names
0.0,76600,en,6.020055,2020-12-16,0.0,0.0,Avatar 2,0.0,58.0,2020,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action, Adventure, Fantasy, Science FictionAction, Adventure, Fantasy, Science FictionAction, Adventure, Fantasy, Science FictionAction, Adventure, Fantasy, Science Fiction",Sin Datos,Sin Datos
12000000.0,299782,en,0.238154,2018-12-31,0.0,0.0,The Other Side of the Wind,0.0,1.0,2018,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, DramaComedy, Drama",Sin Datos,Sin Datos
0.0,38700,en,2.178546,2018-11-07,0.0,0.0,Bad Boys for Life,0.0,12.0,2018,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Thriller, Action, CrimeThriller, Action, CrimeThriller, Action, Crime",Sin Datos,Sin Datos
0.0,332283,en,3.328261,2018-04-25,0.0,0.0,Mary Shelley,0.0,1.0,2018,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Drama, RomanceDrama, Romance",Sin Datos,Sin Datos
0.0,412059,en,0.155147,2018-04-04,0.0,105.0,Mobile Homes,0.0,1.0,2018,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Sin Datos,Sin Datos
18000000.0,302349,en,1.917649,2018-03-01,0.0,0.0,Iron Sky: The Coming Race,0.0,0.0,2018,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action, Comedy, Fantasy, Science FictionAction, Comedy, Fantasy, Science FictionAction, Comedy, Fantasy, Science FictionAction, Comedy, Fantasy, Science Fiction",Sin Datos,Sin Datos
0.0,252983,en,1.531827,2017-12-31,0.0,0.0,Sly Cooper,0.0,0.0,2017,0.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Animation, Adventure, Comedy, Action, FamilyAnimation, Adventure, Comedy, Action, FamilyAnimation, Adventure, Comedy, Action, FamilyAnimation, Adventure, Comedy, Action, FamilyAnimation, Adventure, Comedy, Action, Family",Sin Datos,Sin Datos
0.0,245842,en,1.138419,2017-12-30,0.0,0.0,The King's Daughter,0.0,4.0,2017,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Action, AdventureFantasy, Action, AdventureFantasy, Action, Adventure",Sin Datos,Sin Datos
0.0,341689,en,2.068008,2017-12-27,0.0,102.0,How to Talk to Girls at Parties,0.0,10.0,2017,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Comedy, Music, Romance, Science FictionComedy, Music, Romance, Science FictionComedy, Music, Romance, Science FictionComedy, Music, Romance, Science Fiction",Sin Datos,Sin Datos
0.0,353616,en,3.782498,2017-12-21,0.0,0.0,Pitch Perfect 3,0.0,3.0,2017,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,Sin Datos,Sin Datos
